Year,Hydro,Wind,Wave / tidal,Solar PV,Bioenergy and Waste,Renewables,Nuclear,Low Carbon,Coal,Oil,Gas,Fossil Fuels,Pumped hydro,Other,Total
2004,336.699,951.2149,NA,NA,6853.6612000000005,8141.5751,62068.3153,70209.8904,115979.98190000001,2865.3830000000003,142110.2492,260955.6141,1862.7804,3618.9537,331165.5045
2005,295.3204,1377.8966,NA,NA,8509.893,10183.109999999999,63033.1848,73216.2948,120006.5819,3068.7091,136780.7956,259856.08669999999,2287.1008,4238.3794,333072.3816
2006,336.3523,1913.7526,NA,NA,8543.0216,10793.1265,61406.928700000004,72200.0552,128563.9281,3661.9654,123778.0731,256003.9666,2668.2973,4008.7016000000003,328204.0219
2007,354.60429999999997,2290.6715,NA,NA,8418.625100000001,11063.900899999999,50788.933000000005,61852.833900000005,120200.8555,3346.7559,148251.3359,271798.9475,2661.1064,3446.3900000000003,333651.7814
2008,414.243,3213.581,NA,NA,8527.6663,12155.4904,37520.3056,49675.796,110641.9013,4821.0692,158042.785,273505.7556,2997.5338,3167.2111,323181.5517
2009,340.8362,3966.4413000000004,0,0.5612,9461.6981,13769.536800000002,52416.9162,66186.45300000001,89671.75020000001,4588.4149,151454.2076,245714.3727,2597.9898,3178.0211,317676.83660000004
2010,273.756,4646.1461,0,23.904600000000002,10622.4246,15566.2313,46846.649999999994,62412.881299999994,91525.9629,3368.7592999999997,162389.9772,257284.6996,2371.8906,2526.0638,324595.5353
2011,342.98839999999996,7704.9442,0.0254,233.8311,11956.9201,20238.709199999998,52088.624200000006,72327.3334,96607.0828,2056.0343,133006.8749,231669.992,2301.3527,2807.2928,309105.971
2012,438.1341,10513.4477,0.1319,1281.5233,13164.3094,25397.546299999998,53355.048200000005,78752.5945,128736.4881,2157.4699,90824.2767,221718.2348,2356.7222,3331.8464,306159.39780000004
2013,310.4053,15900.7766,0.1816,1901.7231000000002,16593.8073,34706.8938,52108.996100000004,86815.88990000001,116853.17349999999,1363.0945,86844.70509999999,205060.9732,2284.2004,3316.6697000000004,297477.7333
2014,377.0077,18800.816700000003,0.0383,3865.2650000000003,20734.731300000003,43777.8591,47114.681399999994,90892.5405,87882.7331,1024.9945,94250.85519999999,183158.5827,2389.3481,3733.2367,280173.708
2015,454.2179,24536.338600000003,0,7269.469499999999,27123.7677,59383.793699999995,52582.0734,111965.8671,65463.4867,1075.1095,93654.69,160193.28629999998,2216.8042,4403.5239,278779.4816
2016,431.0261,23010.1747,0,10037.587,27698.4869,61177.274600000004,52095.6273,113272.9019,26720.1185,1366.5403999999999,135618.5429,163705.2016,2473.586,4840.0503,284291.7398
2017,496.0677,29934.757,0,10982.232399999999,28863.581400000003,70276.6385,52509.4961,122786.13459999999,21140.867299999998,1121.1376,127465.1433,149727.1482,2298.9464,4836.437,279648.66620000004
2018,415.79,34863.28,0,12064.279999999999,32146.41,79489.76,51453.0285,130942.7885,15496.9083,1213.6481,120264.29939999999,136974.8559,2044.5136,4948.6346,274910.7926
2019,486.05,38771.78,0,11934.84,34093.12,85285.79,43957.8474,129243.63739999999,6047.1141,1244.4850999999999,121684.8072,128976.4065,1515.2186,5326.903200000001,265062.1657
2020,529.04,49030.520000000004,0,12512.79,36060.79,98133.14,36927.2215,135060.3615,4455.4132,996.4967,101909.4481,107361.3579,1128.3096,6911.279399999999,250461.3084
